loan_id,status,due_date,paid_date,loan_amount,risk_score,gender,age,dependants,device,urban_city,loan_usage
2b1b32bb05,paid,2018-06-01,2018-05-26,2600,0.759,Hombre,51,0,ios,urbano,Otros
1afb75c398,paid,2018-06-01,2018-05-31,2700,0.673,Mujer,35,0,ios,rural,Otros
7eec836ada,paid,2018-06-02,2018-06-02,2600,0.974,Mujer,54,0,ios,urbano,Personal
6bfb187a1b,paid,2018-06-01,2018-05-15,2400,0.436,Hombre,36,0,ios,rural,Inversion
2362ad2dd4,loan,2018-06-01,,2100,0.814,Mujer,18,3,android,urbano,Otros
3c4865d27d,paid,2018-06-01,2018-06-04,2400,0.621,Mujer,21,3,ios,rural,Inversion
4043398c88,paid,2018-06-02,2018-07-03,2400,0.547,Hombre,47,0,ios,urbano,Otros
6148a9b83d,paid,2018-06-03,2018-06-02,2200,0.765,Mujer,34,0,ios,urbano,Personal
1624f89528,loan,2018-06-01,,2500,0.965,Mujer,47,0,ios,urbano,Inversion
6c6c7b7e5d,paid,2018-06-01,2018-05-21,2400,0.945,Mujer,45,3,ios,urbano,Educacion
71288fffd1,paid,2018-06-01,2018-06-07,2500,0.683,Mujer,53,0,ios,urbano,Otros
275407e8c9,paid,2018-06-01,2018-05-29,1900,0.659,Hombre,21,0,ios,urbano,Otros
cf3be60f62,loan,2018-06-01,,2000,0.842,Mujer,42,1,ios,urbano,Otros
b0ffd0d733,paid,2018-06-01,2018-05-14,2100,0.863,Mujer,26,3,ios,urbano,Inversion
3301065772,paid,2018-06-01,2018-05-21,2300,0.912,Mujer,18,0,ios,rural,Educacion
b91a99384a,paid,2018-06-01,2018-05-31,2400,0.869,Hombre,55,1,ios,urbano,Personal
1517ff71d0,paid,2018-06-02,2018-05-27,2400,0.952,Mujer,52,0,ios,urbano,Inversion
3cfb9a5283,paid,2018-06-01,2018-05-27,2100,0.724,Mujer,24,0,android,urbano,Inversion
18d27f69fd,paid,2018-06-01,2018-05-16,2500,0.736,Hombre,36,0,android,urbano,Otros
1123bc0de9,paid,2018-06-02,2018-05-31,2500,0.706,Hombre,18,0,android,rural,Otros
551f8308a6,paid,2018-06-03,2018-06-02,2700,0.780,Mujer,52,1,android,urbano,Inversion
426bdccbd2,paid,2018-06-02,2018-06-06,1800,0.715,Mujer,18,0,ios,urbano,Otros
a49499f295,loan,2018-06-01,,2500,0.714,Mujer,18,0,ios,rural,Otros
d3c373ca69,paid,2018-06-01,2018-05-15,2500,0.918,Hombre,18,0,ios,urbano,Inversion
eff2833f69,loan,2018-06-02,,2200,0.787,Hombre,55,0,android,urbano,Personal
4323c664b7,loan,2018-06-02,,1900,0.721,Mujer,21,2,android,urbano,Otros
fa7ce4b25d,paid,2018-06-01,2018-05-14,2800,0.943,Mujer,43,1,ios,urbano,Otros
29192c5c95,paid,2018-06-01,2018-05-06,2000,0.975,Mujer,55,1,ios,urbano,Educacion
21dc9f6efd,paid,2018-06-01,2018-05-17,2700,0.949,Hombre,49,1,ios,urbano,Personal
7546fe409d,paid,2018-06-02,2018-05-30,2500,0.880,Mujer,29,0,ios,urbano,Educacion
929153a96a,loan,2018-06-01,,2000,0.716,Hombre,18,1,ios,urbano,Otros
39cf1a29f6,paid,2018-06-01,2018-05-30,2000,0.937,Hombre,37,1,ios,urbano,Inversion
93fa0c5b15,loan,2018-06-02,,2000,0.744,Mujer,44,0,android,rural,Educacion
995690ccb9,loan,2018-06-01,,2700,0.704,Mujer,18,1,ios,urbano,Inversion
b4308d4897,paid,2018-06-02,2018-05-30,2000,0.697,Hombre,46,0,ios,urbano,Personal
06e510a176,paid,2018-06-02,2018-06-02,2700,0.809,Hombre,18,0,android,urbano,Otros
14fdeea936,paid,2018-06-02,2018-07-17,2500,0.711,Mujer,18,1,ios,urbano,Otros
34649bdb05,loan,2018-06-01,,2500,0.747,Hombre,47,0,android,urbano,Inversion
1fb8f6db29,paid,2018-06-01,2018-05-15,1900,0.864,Mujer,32,0,android,rural,Inversion
a91c723006,paid,2018-06-01,2018-06-01,2100,0.783,Mujer,51,0,ios,urbano,Inversion
eac8758b62,paid,2018-06-03,2018-06-02,2300,0.773,Mujer,40,3,android,rural,Inversion
80c0a5b6c5,paid,2018-06-01,2018-05-11,2200,0.873,Mujer,52,0,android,urbano,Otros
5cada52336,paid,2018-06-01,2018-06-01,1900,0.654,Mujer,54,1,ios,urbano,Otros
099ec1214f,paid,2018-06-01,2018-05-12,2000,0.974,Mujer,31,0,ios,urbano,Otros
337b234f1d,paid,2018-06-01,2018-05-11,2400,0.779,Hombre,21,3,ios,urbano,Otros
5625cbf5ad,paid,2018-06-01,2018-06-14,2500,0.628,Hombre,28,1,ios,rural,Otros
0dfe9e400f,paid,2018-06-01,2018-05-30,2600,0.750,Mujer,50,0,android,urbano,Inversion
743293373b,loan,2018-06-01,,2300,0.794,Mujer,26,1,ios,urbano,Otros
c4c0bb0cea,loan,2018-06-01,,2400,0.756,Hombre,56,2,ios,urbano,Otros
3e59caa663,loan,2018-06-02,,2700,0.815,Mujer,18,1,ios,urbano,Otros
414e4338cf,paid,2018-06-01,2018-06-01,2200,0.691,Mujer,49,0,ios,urbano,Personal
3a845dc5a2,paid,2018-06-01,2018-05-25,2100,0.911,Mujer,18,1,ios,urbano,Otros
7b72668fdd,paid,2018-06-03,2018-06-04,2500,0.654,Mujer,54,0,android,rural,Inversion
1293f95ec8,paid,2018-06-02,2018-05-27,2400,0.699,Hombre,29,3,ios,rural,Otros
c6d35fdfc3,paid,2018-06-03,2018-06-04,1900,0.709,Hombre,18,0,android,urbano,Otros
db9f8b29da,paid,2018-06-01,2018-05-12,2400,0.967,Hombre,41,3,ios,urbano,Educacion
0294ed6685,paid,2018-06-01,2018-05-31,2500,0.917,Hombre,18,0,ios,urbano,Educacion
bea02af303,paid,2018-06-04,2018-05-14,2100,0.969,Hombre,44,0,android,urbano,Personal
c8395c8b73,paid,2018-06-01,2018-05-31,2200,0.774,Mujer,27,1,android,urbano,Inversion
6c4b182ae3,loan,2018-06-03,,2100,0.745,Mujer,45,0,ios,urbano,Personal
973bb09af0,loan,2018-06-01,,2500,0.655,Mujer,55,1,ios,urbano,Otros
b0b03308ee,paid,2018-06-01,2018-05-07,1900,0.963,Mujer,27,1,ios,urbano,Otros
c860f7e99e,paid,2018-06-01,2018-05-09,2100,0.867,Hombre,36,0,ios,urbano,Otros
dc3718f23a,loan,2018-06-01,,2500,0.722,Mujer,22,0,ios,urbano,Inversion
ff16d966b1,paid,2018-06-01,2018-06-05,2100,0.735,Mujer,35,2,android,urbano,Inversion
04350204d6,paid,2018-06-01,2018-06-01,2300,0.650,Mujer,50,1,android,rural,Inversion
9378b6221e,paid,2018-06-01,2018-06-01,1900,0.805,Mujer,18,1,ios,urbano,Otros
97bbae9857,loan,2018-06-01,,2800,0.667,Hombre,29,3,android,urbano,Inversion
c996bf83ff,paid,2018-06-02,2018-05-26,2100,0.933,Mujer,33,2,android,urbano,Otros
0bd5a2a58d,paid,2018-06-03,2018-05-30,2500,0.979,Hombre,37,3,ios,urbano,Inversion
21afacbe6c,paid,2018-06-03,2018-06-05,2200,0.744,Mujer,44,0,ios,urbano,Inversion
2fb8f0148a,paid,2018-06-01,2018-06-01,2200,0.811,Mujer,18,1,ios,urbano,Otros
5ebc0a16ce,paid,2018-06-01,2018-06-01,2400,0.974,Mujer,33,3,ios,urbano,Educacion
66bd20ad21,paid,2018-06-01,2018-05-16,3400,0.877,Hombre,49,0,ios,urbano,Otros
945927fcbc,paid,2018-06-04,2018-06-11,2800,0.650,Mujer,50,1,ios,urbano,Otros
e648e501e4,loan,2018-06-04,,2400,0.676,Hombre,37,2,ios,urbano,Otros
1dfc287202,paid,2018-06-05,2018-07-20,2200,0.814,Mujer,18,3,ios,urbano,Educacion
3c9e5cccae,paid,2018-06-01,2018-05-30,2100,0.916,Hombre,18,0,ios,urbano,Personal
414ce9d62b,paid,2018-06-02,2018-06-02,2400,0.818,Hombre,18,2,ios,rural,Inversion
98b7f64aec,paid,2018-06-02,2018-05-25,2000,0.944,Mujer,44,1,ios,urbano,Educacion
a0316b1aad,loan,2018-06-01,,1900,0.658,Hombre,43,0,ios,urbano,Otros
b794a6dd77,loan,2018-06-01,,2100,0.804,Mujer,18,0,ios,urbano,Otros
101ead5c99,paid,2018-06-02,2018-06-02,2400,0.683,Mujer,52,2,ios,urbano,Otros
1be22e8e82,paid,2018-06-02,2018-06-02,2700,0.233,Mujer,33,3,android,rural,Otros
29d70ceef7,paid,2018-06-01,2018-05-31,2200,0.689,Hombre,41,0,ios,urbano,Otros
2ac50af92f,paid,2018-06-05,2018-06-04,2800,0.757,Hombre,55,1,android,urbano,Inversion
2ba64779b1,paid,2018-06-01,2018-05-18,2500,0.640,Mujer,40,3,ios,urbano,Otros
6c1a86b654,loan,2018-06-01,,1900,0.466,Hombre,22,0,android,urbano,Otros
722c1c91c5,paid,2018-06-01,2018-05-16,2600,0.656,Hombre,56,1,ios,urbano,Otros
7a633bf928,loan,2018-06-01,,2200,0.509,Hombre,18,0,android,urbano,Otros
829c3442ef,paid,2018-06-01,2018-05-29,2800,0.661,Mujer,50,0,android,rural,Inversion
87324727bd,paid,2018-06-01,2018-05-30,2600,0.810,Mujer,18,2,android,urbano,Inversion
8f7893748c,paid,2018-06-01,2018-06-06,2100,0.683,Mujer,45,0,ios,urbano,Otros
dc3c2ad175,paid,2018-06-01,2018-05-19,2400,0.967,Hombre,49,1,ios,urbano,Inversion
e5f4e80fc3,paid,2018-06-01,2018-05-31,1900,0.941,Mujer,41,0,ios,urbano,Otros
0752f6be7d,paid,2018-06-01,2018-06-01,2200,0.815,Mujer,18,0,ios,rural,Educacion
0b143b2478,loan,2018-06-01,,2200,0.686,Hombre,53,0,ios,rural,Inversion
0d76093785,loan,2018-06-02,,2300,0.465,Mujer,38,1,android,urbano,Otros
1706c0c37a,paid,2018-06-01,2018-06-04,1700,0.761,Mujer,34,3,android,urbano,Inversion
1f99675fd3,paid,2018-06-01,2018-05-31,2400,0.641,Mujer,41,1,ios,rural,Otros
340be3a052,loan,2018-06-01,,2700,0.697,Hombre,46,0,android,urbano,Otros
40a281afe3,paid,2018-06-01,2018-05-30,2300,0.964,Mujer,21,0,ios,urbano,Personal
5bee2e3682,paid,2018-06-01,2018-06-01,2000,0.754,Mujer,54,0,ios,urbano,Inversion
5cfe1081ed,paid,2018-06-01,2018-06-01,2700,0.955,Mujer,55,3,ios,urbano,Educacion
6b1ed0951f,paid,2018-06-05,2018-06-05,2500,0.780,Mujer,39,0,ios,rural,Otros
79abc39a04,paid,2018-06-03,2018-05-31,2500,0.937,Hombre,37,3,ios,urbano,Educacion
b27fbed94f,paid,2018-06-01,2018-05-10,2900,0.988,Hombre,46,2,ios,urbano,Personal
c6cb3b055f,paid,2018-06-01,2018-06-01,1800,0.668,Hombre,45,3,android,urbano,Otros
e35cbadc5c,loan,2018-06-01,,2800,0.656,Hombre,56,0,ios,urbano,Otros
eab708f14a,paid,2018-06-03,2018-05-18,2100,0.890,Mujer,29,0,ios,urbano,Otros
186d0373b5,paid,2018-06-01,2018-05-19,2400,0.939,Hombre,39,2,ios,urbano,Inversion
353b5ad917,paid,2018-06-01,2018-05-31,2700,0.677,Hombre,46,0,ios,rural,Otros
58417447ea,loan,2018-06-02,,2700,0.649,Hombre,49,1,ios,rural,Otros
7099ce58ff,paid,2018-06-03,2018-05-28,2800,0.690,Mujer,48,0,ios,rural,Otros
91d688beab,loan,2018-06-04,,2800,0.628,Hombre,28,2,android,urbano,Otros
9bd468143d,paid,2018-06-01,2018-05-28,2500,0.799,Hombre,47,1,android,urbano,Otros
b6b5266eae,paid,2018-06-01,2018-06-01,2400,0.950,Mujer,50,0,ios,urbano,Inversion
bc3124866e,paid,2018-06-01,2018-06-08,2100,0.859,Hombre,25,2,ios,urbano,Educacion
e8d61be55c,paid,2018-06-02,2018-06-02,2200,0.668,Hombre,52,0,android,urbano,Inversion
12b6f87c1c,paid,2018-06-01,2018-05-14,2400,0.919,Hombre,19,0,ios,urbano,Inversion
2a7fb529ac,paid,2018-06-01,2018-06-02,2400,0.835,Mujer,35,3,ios,urbano,Personal
30912b1b49,paid,2018-06-01,2018-05-30,2100,0.868,Hombre,45,0,ios,urbano,Otros
3a0948229f,paid,2018-06-02,2018-05-15,2700,0.939,Hombre,39,0,ios,urbano,Personal
4909a7cf4e,paid,2018-06-01,2018-06-01,2000,0.726,Hombre,26,0,ios,rural,Otros
521850d180,paid,2018-06-01,2018-05-03,2700,0.902,Mujer,18,0,ios,urbano,Inversion
54f6a11ce4,paid,2018-06-02,2018-05-31,2400,0.906,Hombre,18,2,ios,urbano,Educacion
95538a276d,loan,2018-06-03,,2100,0.960,Mujer,24,0,ios,urbano,Otros
ae223d099f,paid,2018-06-03,2018-05-04,3000,0.977,Hombre,20,0,ios,urbano,Inversion
fb31448b24,paid,2018-06-01,2018-05-20,2900,0.776,Hombre,47,0,ios,urbano,Otros
162f0a99b2,paid,2018-06-01,2018-06-27,2100,0.832,Mujer,32,1,android,urbano,Otros
5c6bb66d2c,paid,2018-06-01,2018-05-28,2100,0.873,Mujer,34,1,ios,urbano,Inversion
827708726f,paid,2018-06-01,2018-05-11,2200,0.767,Hombre,35,0,ios,urbano,Inversion
89f08b7bbd,loan,2018-06-01,,2600,0.881,Mujer,42,0,ios,urbano,Inversion
9a48736aad,loan,2018-06-01,,2200,0.666,Hombre,37,0,ios,urbano,Otros
a2668fa811,paid,2018-06-01,2018-05-04,2700,0.912,Mujer,18,2,ios,urbano,Educacion
a9c84ebd7a,paid,2018-06-02,2018-06-01,1800,0.981,Mujer,21,3,ios,rural,Educacion
d1133f0421,loan,2018-06-03,,2100,0.740,Mujer,40,0,ios,rural,Otros
e6ea62693e,paid,2018-06-01,2018-06-01,2300,0.910,Mujer,18,1,ios,urbano,Educacion
e77cdb1c47,paid,2018-06-01,2018-06-01,2500,0.904,Mujer,18,3,ios,urbano,Educacion
42fba0ef71,loan,2018-06-01,,2300,0.864,Mujer,52,2,ios,urbano,Otros
61cd2a8e53,loan,2018-06-01,,2200,0.676,Hombre,48,1,android,rural,Otros
76a7fc9f1e,paid,2018-06-01,2018-06-01,2700,0.937,Hombre,37,0,ios,urbano,Educacion
7c83ea759d,paid,2018-06-01,2018-05-18,2200,0.827,Hombre,27,1,ios,urbano,Otros
8f59fb3eaf,paid,2018-06-01,2018-06-01,2700,0.686,Hombre,37,2,android,urbano,Otros
a0ea35478b,paid,2018-06-01,2018-05-31,2700,0.743,Mujer,43,0,android,urbano,Otros
adaa49b4d8,paid,2018-06-01,2018-06-26,2000,0.524,Mujer,24,3,ios,rural,Otros
d11fb71c9d,paid,2018-06-01,2018-05-13,2500,0.956,Hombre,56,3,ios,rural,Educacion
e416281b22,paid,2018-06-01,2018-05-30,2400,0.821,Mujer,21,3,android,urbano,Otros
e8659b0e88,paid,2018-06-01,2018-05-08,1200,0.920,Mujer,20,1,ios,urbano,Inversion
29bf850fb0,loan,2018-06-04,,2200,0.837,Hombre,37,0,ios,urbano,Otros
2caae972d5,paid,2018-06-01,2018-06-01,2500,0.930,Mujer,30,0,ios,rural,Inversion
3c0e6459d4,paid,2018-06-01,2018-06-01,1800,0.885,Mujer,36,3,ios,urbano,Otros
9690706dba,paid,2018-06-01,2018-05-31,2600,0.916,Hombre,18,1,ios,urbano,Inversion
c38d4900b1,paid,2018-06-01,2018-05-31,2400,0.822,Mujer,22,0,ios,urbano,Inversion
d1ba89968c,paid,2018-06-01,2018-06-01,1600,0.948,Hombre,48,0,ios,urbano,Educacion
d38e997182,paid,2018-06-01,2018-05-28,1900,0.966,Hombre,35,0,ios,urbano,Inversion
e22d2a5f39,loan,2018-06-04,,2500,0.534,Mujer,34,3,ios,urbano,Otros
e915c78d8e,paid,2018-06-01,2018-05-19,2900,0.928,Hombre,28,0,ios,urbano,Inversion
ee841efeec,paid,2018-06-01,2018-05-30,2400,0.805,Mujer,18,2,ios,rural,Educacion
f0209b0869,loan,2018-06-01,,2400,0.646,Hombre,46,0,ios,urbano,Otros
25c35c2c39,paid,2018-06-01,2018-05-17,2300,0.891,Mujer,19,0,ios,urbano,Personal
2612d6417c,paid,2018-06-01,2018-05-15,2300,0.951,Mujer,51,0,ios,rural,Personal
5770e0d727,loan,2018-06-01,,2800,0.795,Mujer,29,1,android,urbano,Otros
954af069c0,paid,2018-06-02,2018-06-04,2400,0.660,Mujer,49,1,android,rural,Otros
adb24be979,paid,2018-06-01,2018-05-31,2400,0.913,Mujer,18,1,ios,urbano,Personal
db46e6b8a7,loan,2018-06-01,,1900,0.678,Hombre,22,0,ios,rural,Inversion
fc6c7ed986,paid,2018-06-01,2018-05-31,2000,0.858,Hombre,37,1,android,rural,Educacion
d336f10848,paid,2018-06-01,2018-05-25,2400,0.648,Hombre,48,2,android,rural,Otros
f225232222,paid,2018-06-01,2018-05-29,1900,0.932,Mujer,32,3,android,rural,Educacion
08b8fcfed1,paid,2018-06-01,2018-05-30,2100,0.705,Mujer,18,2,ios,urbano,Inversion
23174665f0,paid,2018-06-02,2018-06-01,2300,0.643,Mujer,43,2,android,urbano,Otros
28210362cd,paid,2018-06-03,2018-05-15,2400,0.909,Hombre,18,0,ios,urbano,Otros
362723b27c,paid,2018-06-01,2018-05-31,2400,0.890,Mujer,36,0,ios,urbano,Otros
5f164bd412,paid,2018-06-04,2018-06-07,2100,0.857,Hombre,37,0,ios,urbano,Personal
2f66fcf1f6,paid,2018-06-01,2018-05-30,2200,0.886,Hombre,25,0,ios,urbano,Inversion
c3031c96d7,paid,2018-06-01,2018-06-01,2500,0.855,Mujer,55,0,ios,urbano,Personal
fbdc2681f4,paid,2018-06-02,2018-05-11,2300,0.889,Hombre,36,1,ios,rural,Educacion
94b7e08be1,paid,2018-06-01,2018-05-17,2100,0.635,Mujer,35,0,android,urbano,Otros
e8b62a49b7,paid,2018-06-02,2018-06-19,2100,0.904,Mujer,18,3,ios,rural,Educacion
52b38e7350,loan,2018-06-02,,2000,0.451,Mujer,51,2,ios,urbano,Otros
dd86861b5e,paid,2018-06-03,2018-06-03,2400,0.694,Mujer,18,0,ios,urbano,Otros
41d2d8f38c,paid,2018-06-01,2018-06-13,2200,0.670,Mujer,29,0,android,urbano,Otros
355698b92e,paid,2018-06-02,2018-05-31,2200,0.659,Hombre,42,0,android,urbano,Otros
71edcc7bf5,paid,2018-06-02,2018-06-02,2300,0.658,Hombre,31,0,android,rural,Otros
b59021421f,paid,2018-06-04,2018-05-13,2500,0.686,Hombre,18,0,android,urbano,Otros
c3f05db394,paid,2018-06-01,2018-05-30,2100,0.939,Hombre,39,1,ios,urbano,Otros
c5015d4640,paid,2018-06-01,2018-06-01,2800,0.729,Hombre,29,3,ios,rural,Otros
15fcb04d7f,paid,2018-06-02,2018-06-02,2200,0.638,Hombre,38,1,ios,urbano,Otros
913634ca4f,loan,2018-06-01,,2200,0.829,Hombre,29,0,android,urbano,Otros
cecffc56cf,loan,2018-06-02,,1500,0.524,Mujer,24,3,ios,rural,Otros
f05ff67d61,paid,2018-06-01,2018-05-15,2700,0.935,Mujer,35,1,ios,urbano,Otros
f2f6188353,paid,2018-06-02,2018-06-01,2600,0.992,Mujer,26,1,ios,urbano,Inversion
050105cdd8,loan,2018-06-01,,2700,0.769,Hombre,46,1,ios,urbano,Otros
0ed9279f88,paid,2018-06-01,2018-05-30,2200,0.790,Mujer,52,0,ios,urbano,Inversion
0f068e6eff,paid,2018-06-02,2018-05-16,2700,0.820,Mujer,20,0,ios,urbano,Otros
1656b27e9a,paid,2018-06-01,2018-05-28,2600,0.930,Mujer,30,0,ios,urbano,Personal
376f9e719b,paid,2018-06-01,2018-05-30,2000,0.831,Mujer,31,1,ios,urbano,Educacion
6196203a62,paid,2018-06-01,2018-06-05,2000,0.968,Hombre,32,1,ios,urbano,Inversion
65190fa2e6,paid,2018-06-01,2018-06-01,2300,0.897,Hombre,19,0,ios,rural,Inversion
84dedfbb54,paid,2018-06-01,2018-06-01,2200,0.711,Mujer,18,1,android,urbano,Otros
855fd675d5,paid,2018-06-01,2018-05-31,2500,0.893,Mujer,19,0,ios,rural,Otros
b218167745,paid,2018-06-01,2018-06-01,2000,0.924,Mujer,24,2,ios,rural,Otros
b92906ad3e,paid,2018-06-01,2018-05-15,2300,0.910,Mujer,18,1,ios,rural,Personal
b9c275bce0,paid,2018-06-01,2018-05-20,2600,0.864,Mujer,32,0,ios,rural,Personal
f67a2071b0,loan,2018-06-01,,2500,0.239,Hombre,39,0,ios,rural,Otros
00c501f119,paid,2018-06-01,2018-05-05,2000,0.927,Hombre,27,3,ios,urbano,Personal
087f58ce0d,paid,2018-06-02,2018-05-21,2300,0.933,Mujer,33,0,ios,urbano,Educacion
0cea0f85a7,paid,2018-06-01,2018-05-31,2300,0.977,Hombre,22,1,ios,urbano,Personal
2a4c9a1fb2,loan,2018-06-01,,2100,0.843,Mujer,43,0,ios,urbano,Otros
4537c4dec4,paid,2018-06-01,2018-05-31,2400,0.733,Mujer,33,0,ios,urbano,Inversion
6494279df5,paid,2018-06-01,2018-05-07,2200,0.876,Hombre,23,0,ios,urbano,Personal
8e4fe8be97,paid,2018-06-01,2018-05-31,2300,0.904,Mujer,18,1,ios,urbano,Personal
9135cb9b1d,paid,2018-06-01,2018-05-14,2300,0.510,Mujer,18,3,android,rural,Otros
9dd7b5a211,paid,2018-06-01,2018-05-03,1900,0.907,Hombre,18,0,ios,urbano,Inversion
9fd64b234b,paid,2018-06-01,2018-05-15,2100,0.808,Hombre,18,0,ios,urbano,Educacion
b60dff103c,paid,2018-06-01,2018-05-31,2300,0.775,Mujer,53,0,ios,urbano,Educacion
d70699b109,paid,2018-06-01,2018-05-30,2400,0.900,Mujer,18,1,ios,urbano,Inversion
189dbbbb48,loan,2018-06-02,,2100,0.703,Mujer,18,0,android,urbano,Otros
1a83c37aa8,paid,2018-06-02,2018-06-02,2000,0.687,Hombre,33,3,ios,rural,Otros
37539bb2ff,paid,2018-06-01,2018-05-11,2600,0.946,Hombre,46,2,ios,urbano,Educacion
4b9a0ccb2f,loan,2018-06-05,,2300,0.641,Mujer,41,1,ios,urbano,Otros
51293ce885,paid,2018-06-01,2018-05-30,2300,0.680,Mujer,52,2,ios,urbano,Otros
5222ce9f12,paid,2018-06-01,2018-07-30,2100,0.909,Hombre,18,1,ios,urbano,Otros
629b387e30,paid,2018-06-01,2018-06-08,2900,0.885,Mujer,35,1,ios,urbano,Otros
657632b407,paid,2018-06-01,2018-05-16,2300,0.950,Mujer,50,0,ios,urbano,Educacion
8d8700a1d2,paid,2018-06-01,2018-05-16,2500,0.956,Hombre,56,0,ios,urbano,Personal
9.86E+16,loan,2018-06-01,,2400,0.642,Mujer,42,0,android,urbano,Otros
ccf35f73f4,paid,2018-06-01,2018-05-31,2300,0.894,Mujer,52,1,android,urbano,Inversion
e56bf74b02,paid,2018-06-05,2018-06-02,2100,0.783,Mujer,43,0,ios,rural,Otros
00a4ca9f0e,paid,2018-06-01,2018-05-21,2300,0.935,Mujer,35,0,ios,urbano,Personal
07f7f8fc23,paid,2018-06-01,2018-05-14,2100,0.994,Mujer,22,0,ios,urbano,Educacion
2ae3c1f50d,paid,2018-06-01,2018-05-17,2300,0.780,Mujer,20,1,android,urbano,Inversion
41a114d114,paid,2018-06-01,2018-05-31,2500,0.545,Mujer,45,0,android,urbano,Otros
4401c68702,paid,2018-06-01,2018-06-01,2800,0.671,Mujer,44,3,ios,urbano,Otros
64b33a3499,loan,2018-06-01,,2200,0.725,Mujer,25,0,android,urbano,Inversion
